"","ID","Title","Rel_Date","Budget"
"1260",170687,"The Boxtrolls",2014-09-10,60000000
"1262",467938,"Revenge",2017-09-10,2900000
"1263",59967,"Looper",2012-09-26,30000000
"1265",489999,"Searching",2018-08-24,1000000
"1268",426426,"Roma",2018-08-25,15000000
"1269",262504,"Allegiant",2016-03-09,110000000
"1270",82700,"After Earth",2013-05-30,130000000
"1271",440021,"Happy Death Day",2017-10-12,4800000
"1272",395992,"Life",2017-03-22,58000000
"1279",294254,"Maze Runner: The Scorch Trials",2015-09-09,61000000
"1281",22538,"Scott Pilgrim vs. the World",2010-07-27,60000000
"1283",228967,"The Interview",2014-12-25,44000000
"1285",71552,"American Reunion",2012-04-04,50000000
"1286",505058,"Unfriended: Dark Web",2018-07-19,1000000
"1292",73723,"The Lorax",2012-03-01,70000000
"1297",401545,"Everybody Knows",2018-05-09,11318430
"1298",394741,"Stan & Ollie",2018-12-28,10000000
"1301",445651,"The Darkest Minds",2018-08-02,34000000
"1305",347026,"A United Kingdom",2016-11-25,14000000
"1315",49040,"The Bourne Legacy",2012-08-08,130000000
"1323",68735,"Warcraft",2016-05-25,160000000
"1331",290250,"The Nice Guys",2016-05-15,50000000
"1333",80274,"Ender's Game",2013-10-23,110000000
"1335",264660,"Ex Machina",2015-01-21,15000000
"1343",80321,"Madagascar 3: Europe's Most Wanted",2012-06-06,145000000
"1349",334533,"Captain Fantastic",2016-07-02,5000000
"1350",324849,"The Lego Batman Movie",2017-02-08,80000000
"1351",27022,"The Sorcerer's Apprentice",2010-07-13,150000000
"1353",166424,"Fantastic Four",2015-08-05,120000000
"1354",107846,"Escape Plan",2013-10-09,50000000
"1357",47964,"A Good Day to Die Hard",2013-02-06,92000000
"1358",454619,"Overboard",2018-05-03,12000000
"1380",51739,"The Secret World of Arrietty",2010-07-16,23000000
"1382",127380,"Finding Dory",2016-06-16,200000000
"1385",262543,"Automata",2014-10-09,7000000
"1386",339846,"Baywatch",2017-05-12,69000000
"1387",316727,"The Purge: Election Year",2016-06-29,10000000
"1389",437557,"Blockers",2018-03-14,21000000
"1393",41446,"Scream 4",2011-04-11,40000000
"1394",75174,"The Grey",2012-01-26,25000000
"1395",136799,"Trolls",2016-10-13,125000000
"1399",46195,"Rio",2011-04-03,90000000
"1400",395834,"Wind River",2017-08-03,11000000
"1401",38055,"Megamind",2010-10-28,130000000
"1402",49524,"R.I.P.D.",2013-07-18,130000000
"1407",188222,"Entourage",2015-06-03,30000000
"1408",376867,"Moonlight",2016-10-21,4000000
"1410",62213,"Dark Shadows",2012-05-08,150000000
"1412",379149,"The Foreigner",2017-09-28,35000000
"1416",72190,"World War Z",2013-06-20,200000000
"1417",72784,"The Loft",2014-10-14,14000000
"1419",76163,"The Expendables 2",2012-08-08,100000000
"1421",460668,"I Feel Pretty",2018-04-19,32000000
"1422",341013,"Atomic Blonde",2017-07-26,30000000
