"","X1","titles","artists","song_id","release_year","release_date","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","onBillboard","artist.id","artist.popularity"
"62",61,"Baby Shark","Pinkfong","5ygDXis42ncn6kYG14lEVG",2017,2017-07-27,0.245,0.825,96333,0.84,0,7,0.341,-3.651,1,0.227,115.062,4,0.52,1,"7cTXfwpe9peK0UE1bZyIWZ",71
"63",62,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie","1wJRveJZLSb1rjhnUHQiv6",2018,2018-12-21,0.0153,0.581,189487,0.662,0,9,0.111,-5.239,1,0.303,93.023,4,0.434,1,"31W5EY0aAly4Qieq6OFu6I",89
"64",63,"Miss Me More","Kelsea Ballerini","5NfJGBAL9mgFPRQxKJmiX2",2018,2018-10-26,0.014,0.643,192840,0.72,0,2,0.0834,-7.146,1,0.0527,96.028,4,0.491,1,"3RqBeV12Tt7A8xH3zBDDUF",77
"65",64,"Big Ole Freak","Megan Thee Stallion","3YEbLhXRDPTtctnb3ddg8g",2018,2018-12-21,0.00867,0.799,214851,0.699,0,2,0.132,-7.694,1,0.204,142.979,4,0.627,1,"181bsRPaVXVlUKXrxwZfHK",70
"66",65,"Here Tonight","Brett Young","38nVuIj9mi5a8oopOJhSJk",2018,2018-12-07,0.0144,0.517,216533,0.776,0,11,0.113,-5.271,1,0.0362,96.002,4,0.448,1,"0fiWOxhsBsQQvFDtxUQWo0",75
"67",66,"Before I Let Go - Homecoming Live Bonus Track","Beyoncé","7LikBkHerFGZ58QHVOKp1t",2019,2019-04-17,0.0686,0.713,240777,0.842,0,6,0.341,-5.424,0,0.0984,102.968,4,0.435,1,"6vWDO969PvNqNYHIOW5v0m",93
"68",67,"Beer Never Broke My Heart","Luke Combs","5eDvChP4WAPPrtaQeI9MhT",2019,2019-05-08,0.0138,0.54,186800,0.863,0,1,0.0871,-4.483,1,0.0481,77,4,0.64,1,"718COspgdWOnwOFpJHRZHS",82
"69",68,"Don't Call Me Up","Mabel","5WHTFyqSii0lmT9R21abT8",2019,2019-01-18,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234,1,"1MIVXf74SZHmTIp4V4paH4",83
"70",69,"Cool","Jonas Brothers","3QmolSZqjjLksTUvZJ6pPS",2019,2019-04-05,0.0105,0.681,167120,0.603,0,0,0.159,-5.533,1,0.0458,79.007,4,0.643,1,"7gOdHgIoIKoe4i9Tta6qdD",86
"71",70,"Go Loko","YG","3SZqA7rQvROJsCbUu2v0xa",2019,2019-05-03,0.305,0.695,299227,0.667,1.76e-06,2,0.0655,-5.159,1,0.0846,201.995,4,0.166,1,"0A0FS04o6zMoto8OKPsDwY",85
"72",71,"GIRL","Maren Morris","3y5B5ebFMzEEFqCPOesAXR",2019,2019-03-08,0.0677,0.44,250653,0.793,0,6,0.0788,-3.95,1,0.0502,143.599,4,0.447,1,"6WY7D3jk8zTrHtmkqqo5GI",82
"73",72,"Racks In The Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle","6ya8ejoKgw906Y8LWclqrp",2019,2019-02-15,0.0825,0.671,233278,0.833,0,5,0.0726,-5.152,0,0.395,79.351,4,0.702,1,"0EeQBlQJFiAfJeVN2vT9s0",84
"74",73,"Robbery","Juice WRLD","6Hj9jySrnFppAI0sEMCZpJ",2019,2019-03-08,0.328,0.685,240051,0.692,0,2,0.153,-5.122,1,0.0457,159.966,5,0.578,1,"4MCBfE4596Uoi2O4DtmEMz",93
